ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
700,Le Télégramme,48.468346,-2.514357,Lamballe,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
701,Le Télégramme,47.869452,-3.916479,Concarneau,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
702,Le Télégramme,48.386541,-4.48763,Brest,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
703,Le Télégramme,47.864416,-4.221532,Pont-l'Abbé,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
704,Le Télégramme,48.082351,-1.680075,Rennes,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
705,Le Télégramme,48.093835,-4.326537,Douarnenez,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
706,Le Télégramme,48.512872,-2.75937,Saint-Brieuc,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
707,Le Télégramme,48.58415,-3.835662,Morlaix,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
708,Le Télégramme,47.658611,-2.761481,Vannes,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
709,Le Télégramme,48.729307,-3.458655,Lannion,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
710,Le Télégramme,48.178008,-2.759533,Loudéac,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
711,Le Télégramme,48.582878,-3.835937,Morlaix,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
712,Le Télégramme,48.450022,-4.252959,Landerneau,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
713,Le Télégramme,48.066531,-2.96638,Pontivy,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
714,Le Télégramme,47.873053,-3.549703,Quimperlé,https://www.letelegramme.fr,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1944,,,Informations générales,Groupe Le Télégramme
