ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
308,La Dépêche du Midi,43.236911,0.071413,Tarbes,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
309,La Dépêche du Midi,43.956992,0.375527,Condom,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
310,La Dépêche du Midi,43.927116,2.147131,Albi,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
311,La Dépêche du Midi,44.349332,2.574296,Rodez,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
312,La Dépêche du Midi,44.108379,0.891388,Valence,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
313,La Dépêche du Midi,43.458202,2.004287,Revel,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
314,La Dépêche du Midi,43.460337,1.323805,Muret,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
315,La Dépêche du Midi,44.610113,2.034568,Figeac,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
316,La Dépêche du Midi,44.446489,1.441097,Cahors,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
317,La Dépêche du Midi,43.648666,0.593,Auch,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
318,La Dépêche du Midi,43.606931,2.243071,Castres,https://www.ladepeche.fr/,Presse,https://www.ladepeche.fr/img/logos/logo.png,1957,,,Informations générales,Groupe La Dépêche du Midi
319,La Gazette Ariégeoise,42.958672,1.588474,Foix,https://www.gazette-ariegeoise.fr,Presse,,,,,Informations générales,
320,La Gazette de la défense,48.988915,1.718114,Mantes-la-Jolie,https://lagazette-ladefense.fr,Presse,,2018,quartier d’affaires de la Défense (voir plan site),,Informations générales,
321,La Gazette de la Manche,48.577475,-1.09126,Saint-Hilaire-du-Harcouët,https://www.actu.fr/la-gazette-de-la-manche/,Presse,,,,,Informations générales,
322,La Gazette de Montpellier,43.608532,3.880202,Montpellier,https://www.lagazettedemontpellier.fr,Presse,,,,,Informations générales,
323,La Gazette de Nîmes,43.835873,4.361062,Nîmes,https://www.lagazettedenimes.fr,Presse,,,,,Informations générales,
324,La gazette de Sète,43.404483,3.695924,Sète,https://www.gazettedesete.com/,Presse,,,,,Informations générales,
325,La Gazette du Centre Morbihan,47.887364,-2.836807,Locminé,https://actu.fr/la-gazette-du-centre-morbihan/,Presse,,,,,Informations générales,SIPA Ouest-France
326,La Gazette du Midi,43.606759,1.45077,Toulouse,https://www.forumeco.com/journaux/gazette-du-midi,Presse,,1956 (à vérifier),,,Economie,Groupe Forumeco
327,La Gazette du Val d’Oise,49.048913,2.094188,Pontoise,https://www.actu.fr/la-gazette-du-val-d-oise/,Presse,,,,,Informations générales,SIPA Ouest-France
328,La gazette en Yvelines,48.988915,1.718114,Mantes-la-Jolie,https://lagazette-yvelines.fr,Presse,,2012,Nord-ouest des Yvelines (voir plan site),,Informations générales,
329,La Gazette Nord-Pas-de-Calais,50.631795,3.059038,Lille,https://www.gazettenpdc.fr/,Presse,,,,,Economie,
330,La Haute Loire Paysanne,45.758843,3.137232,Aubière,https://www.haute-loire-paysanne.com,Presse,,,,,Agriculture,Groupe Réussir
331,La Haute-Saône Agricole,47.619512,6.149031,Vesoul,https://hautesaoneagricole.com/,Presse,,,,,Agriculture,Groupe Réussir
332,La lettre Valloire,47.129108,1.020577,Beaulieu-lès-Loches,https://www.lettrevalloire.com,Presse,,1987,région Centre‑Val de Loire,,Economie,
334,La Liberté l'Homme de Bronze – le Commercial Provence,43.660765,4.621814,Arles,https://www.lalibertelecommercial.fr,Presse,,,,,Informations générales,
335,La Lozère Nouvelle,44.520046,3.497535,Mende,https://www.48info.fr,Presse,,,,,Informations générales,
336,La Manche Libre,49.116945,-1.102334,Agneaux,https://www.lamanchelibre.fr,Presse,,1944,,,Informations générales,Groupe La Manche Libre
337,La Manche Libre,49.639472,-1.625269,Cherbourg-en-Cotentin,https://www.lamanchelibre.fr,Presse,,1944,,,Informations générales,Groupe La Manche Libre
338,La Marne,48.9589,2.883527,Meaux,https://www.actu.fr/la-marne/,Presse,,,,,Informations générales,SIPA Ouest-France
340,La Marseillaise,43.292708,5.3741,Marseille,https://www.lamarseillaise.fr,Presse,,1943,"Bouches du rhône, Var, Alpes, Vaucluse, Hérault, Gard",,Informations générales,
343,La Marseillaise,43.605904,3.877673,Montpellier,https://www.lamarseillaise.fr,Presse,,1943,"Bouches du rhône, Var, Alpes, Vaucluse, Hérault, Gard",,Informations générales,
346,La Marseillaise,43.408683,5.047076,Martigues,https://www.lamarseillaise.fr,Presse,,1943,"Bouches du rhône, Var, Alpes, Vaucluse, Hérault, Gard",,Informations générales,
347,La Maurienne,45.277226,6.348359,Saint-Jean-de-Maurienne,https://www.lamaurienne.fr,Presse,,,,,Informations générales,
348,La Montagne,45.034016,3.095067,Saint-Flour,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
349,La Montagne,45.265526,1.769718,Tulle,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
350,La Montagne,45.858288,3.549853,Thiers,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
351,La Montagne,45.545695,3.250583,Issoire,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
352,La Montagne,44.926499,2.4412,Aurillac,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
353,La Montagne,46.130331,3.418088,Vichy,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
354,La Montagne,46.17803,1.872037,Guéret,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
355,La Montagne,45.788432,3.101898,Clermont-Ferrand,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
356,La Montagne,45.891743,3.112948,Riom,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
357,La Montagne,45.547259,2.309323,Ussel,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
358,La Montagne,45.293717,3.381642,Brioude,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
359,La Montagne,46.563999,3.33499,Moulins,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
360,La Montagne,45.040553,3.886237,Le Puy-en-Velay,https://www.lamontagne.fr/,Presse,https://www.lamontagne.fr/static/bloc/ripolinage/logos/logo-MT.svg,1919,,,Informations générales,Groupe La Montagne Centre-France
361,La Nouvelle République des Pyrénées,43.124286,0.384516,Lannemezan,https://www.nrpyrenees.fr/,Presse,,,,,,Groupe La Dépêche du Midi
362,La Nouvelle République des Pyrénées,43.237393,0.071344,Tarbes,https://www.nrpyrenees.fr/,Presse,,1944,,,,Groupe La Dépêche du Midi
363,La Nouvelle République des Pyrénées,43.094714,-0.045657,Lourdes,https://www.nrpyrenees.fr/,Presse,,,,,,Groupe La Dépêche du Midi
364,La Nouvelle République du Centre-Ouest,47.590099,1.336188,Blois,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
365,La Nouvelle République du Centre-Ouest,46.585223,0.339972,Poitiers,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
366,La Nouvelle République du Centre-Ouest,46.32271,-0.462233,Niort,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
367,La Nouvelle République du Centre-Ouest,46.949711,1.990755,Issoudun,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
368,La Nouvelle République du Centre-Ouest,47.361687,1.74249,Romorantin-Lanthenay,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
369,La Nouvelle République du Centre-Ouest,46.839681,-0.490607,Bressuire,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
370,La Nouvelle République du Centre-Ouest,46.569872,0.642937,Chauvigny,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
371,La Nouvelle République du Centre-Ouest,46.632624,1.06611,Le Blanc,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
372,La Nouvelle République du Centre-Ouest,46.426231,0.868808,Montmorillon,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
373,La Nouvelle République du Centre-Ouest,47.374936,0.697708,Tours,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
374,La Nouvelle République du Centre-Ouest,47.792369,1.064694,Vendôme,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
375,La Nouvelle République du Centre-Ouest,46.810247,1.692073,Châteauroux,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
376,La Nouvelle République du Centre-Ouest,46.648115,-0.248745,Parthenay,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
377,La Nouvelle République du Centre-Ouest,47.128174,0.998083,Loches,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
378,La Nouvelle République du Centre-Ouest,47.1665,0.238317,Chinon,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
379,La Nouvelle République du Centre-Ouest,47.410857,0.975956,Amboise,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
380,La Nouvelle République du Centre-Ouest,46.978728,-0.211716,Thouars,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
381,La Nouvelle République du Centre-Ouest,46.815304,0.545446,Châtellerault,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
382,La Nouvelle République du Centre-Ouest,47.902758,1.90123,Orléans,https://www.lanouvellerepublique.fr/,Presse,https://www.lanouvellerepublique.fr/theme/nrco/images/logo.svg,1944,,,Informations générales,Groupe Nouvelle République
383,La Pie du Pilat,45.412885,4.697268,Pélussin,https://lapiedupilat.fr/,Presse,,,Massif du Pilat,,"Enquête, satirique",
384,La Pieuvre du Midi,43.340285,3.218105,Béziers,https://lapieuvredumidi.com,Presse,,2016,GRAND BITERROIS – AGATHOIS – PISCENOIS,,Informations générales,
385,La Presse d'Armor,48.778602,-3.047081,Paimpol,https://www.actu.fr/la-presse-d-armor/,Presse,,,,,Informations générales,SIPA Ouest-France
386,La Presse de Gray,47.448519,5.592816,Gray,https://www.lapressedegray.com,Presse,,1842,,,Informations générales,Ebra - Crédit Mutuel
387,La Presse de la Manche,49.638083,-1.624569,Cherbourg-en-Cotentin,https://actu.fr/la-presse-de-la-manche/,Presse,,,,,Informations générales,SIPA Ouest-France
388,La Presse de Vesoul,47.62071,6.155105,Vesoul,https://www.lapressedevesoul.com,Presse,,1981,,,Informations générales,Ebra - Crédit Mutuel
389,La Provence,43.830763,5.784247,Manosque,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
390,La Provence,44.092765,6.235877,Digne-les-Bains,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
391,La Provence,43.446683,5.248344,Vitrolles,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
392,La Provence,43.675375,4.627126,Arles,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
393,La Provence,43.64207,5.094349,Salon-de-Provence,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
394,La Provence,43.946903,4.805668,Avignon,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
395,La Provence,43.527088,5.452398,Aix-en-Provence,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
396,La Provence,43.175774,5.610424,La Ciotat,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
397,La Provence,44.13748,4.808417,Orange,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
398,La Provence,43.321187,5.367715,Marseille,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,,,,Informations générales,Groupe La Provence
399,La Provence,44.052602,5.046674,Carpentras,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
400,La Provence,43.513125,4.989583,Istres,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
401,La Provence,43.291947,5.568877,Aubagne,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
402,La Provence,43.403832,5.055264,Martigues,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
403,La Provence,43.418645,5.213959,Marignane,https://www.laprovence.com/,Presse,https://www.laprovence.com/media/logo-didomi.png,1997,,,Informations générales,Groupe La Provence
404,La Renaissance,46.450072,4.119195,Paray-le-Monial,https://www.la-renaissance.net,Presse,,,,,Informations générales,Sogemedia / La Manche Libre
405,La Renaissance du Loir et Cher,47.591584,1.330938,Blois,https://www.larenaisanceduloiretcher.fr,Presse,,,,,Informations générales,
406,La Renaissance Lochoise,47.129772,0.99816,Loches,https://www.renaissancelochoise.com,Presse,,,,,Informations générales,
407,"La Renaissance, Le Bessin",49.277834,-0.705093,Bayeux,https://www.actu.fr/la-renaissance-le-bessin/,Presse,,,,,Informations générales,SIPA Ouest-France
408,La République de Seine-et-Marne,48.538579,2.657195,Melun,https://www.actu.fr/la-republique-de-seine-et-marne/,Presse,,,,,Informations générales,SIPA Ouest-France
409,La République des Pyrénées,43.489353,-0.772142,Orthez,https://www.larepubliquedespyrenees.fr/,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png/800px-Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png,1944,Béarn et Soule,,Informations générales,Groupe Sud-Ouest
410,La République des Pyrénées,43.191276,-0.613016,Oloron-Sainte-Marie,https://www.larepubliquedespyrenees.fr/,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png/800px-Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png,1944,Béarn et Soule,,Informations générales,Groupe Sud-Ouest
411,La République des Pyrénées,43.29932,-0.366725,Pau,https://www.larepubliquedespyrenees.fr/,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png/800px-Logo_La_R%C3%A9publique_des_Pyr%C3%A9n%C3%A9es.png,1944,Béarn et Soule,,Informations générales,Groupe Sud-Ouest
413,La république du Centre,47.915365,1.924182,Orléans,https://www.larep.fr,Presse,,1944,,,Informations générales,Groupe La Montagne Centre-France
414,La revue agricole de l'Aube,48.292995,4.068406,Troyes,https://www.revueagricole10.com/,Presse,,,,,Agriculture,Groupe Réussir
415,La Ruche,45.293717,3.381642,Brioude,https://www.laruche.fr,Presse,,,,,Informations générales,Groupe La Montagne Centre-France
416,La Sambre – la Frontière,50.278887,3.97127,Maubeuge,https://www.lobservateur.fr/sambre,Presse,,,,,Informations générales,Sogemédia
417,La Savoie,45.676701,6.390637,Albertville,https://www.lasavoie.fr/,Presse,,1945,Savoie,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
418,La Semaine dans le Boulonnais,50.726188,1.600959,Boulogne-sur-Mer,https://www.lasemainedansleboulonnais.fr,Presse,,1981,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
419,La Semaine de l'Allier,46.564408,3.326818,Moulins,https://www.lasemainedelallier.fr,Presse,,2010,,,Informations générales,Sogemédia
420,La Semaine de Nancy,48.692052,6.186175,Nancy,https://www.lasemaine.fr,Presse,,,,,Informations générales,
421,La Semaine des Ardennes,49.770997,4.719625,Charleville-Mézières,https://www.lasemainedesardennes.fr,Presse,,,,,Informations générales,Sogemédia
422,La Semaine des Pyrénées,43.233513,0.076302,Tarbes,https://www.lasemainedespyrenees.fr,Presse,,,,,Informations générales,Sogemédia
423,La Semaine du Minervois,43.281134,2.730863,Olonzac,https://www.semaineduminervois.com,Presse,,,,,Informations générales,
424,la Semaine du Pays Basque,43.465741,-1.540768,Biarritz,https://www.lspb.fr,Presse,,,,,Informations générales,
425,La Semaine Metz Thionville Moselle,49.126475,6.182648,Metz,https://www.lasemaine.fr,Presse,,,,,Informations générales,
426,La Strada,43.660277,7.181263,Saint-Laurent-du-Var,https://fr-fr.facebook.com/journal.lastrada/,Presse,,,"Alpes-Maritimes, le Var et la Principauté de Monaco",,"Culture, Loisirs",
427,La Terre de chez nous,47.255745,6.04157,Besançon,https://www.laterredecheznous.com/,Presse,,,,,Agriculture,
428,La Thiérache,49.83436,3.906932,Vervins,https://www.la-thierache.fr,Presse,https://www.la-thierache.fr/wp-content/uploads/2018/01/logo-thierache-V5.png,,,,Informations générales,Sogemédia
429,La Tribune,45.066043,4.834696,Tournon-sur-Rhône,https://www.e-tribune.fr,Presse,,,,,Informations générales,
431,La Tribune de Montélimar,44.558213,4.746387,Montélimar,https://www.e-tribune.fr/,Presse,,1816 / 1971,https://commons.wikimedia.org/wiki/File:Carte_quotidiens_groupe_EBRA.svg?uselang=fr,,Informations générales,Ebra - Crédit Mutuel
432,La Tribune Républicaine,46.109873,5.826448,Bellegarde-sur-Valserine,https://www.latribunerepublicaine.fr/,Presse,,1902,canton de Bellegarde,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
434,La Trousse Corrézienne,45.269426,1.772805,Tulle,https://la-trousse-correzienne.org/,Presse,,,Corrèze,,"Enquête, satirique",
435,La vie Charentaise,45.626151,0.151859,Angoulême,https://www.vie-charentaise.fr,Presse,,,,,Agriculture,Groupe Réussir
436,La Vie Corrézienne,45.16103,1.528321,Brive-la-Gaillarde,https://www.laviecorrezienne.fr,Presse,,,,,Informations générales,
437,La Vie Nouvelle,45.159662,5.737912,Grenoble,https://www.la-vie-nouvelle.fr,Presse,,,,,Informations générales,
438,La Vie Quercynoise,44.447224,1.438008,Cahors,https://actu.fr/lot/,Presse,,,,,Informations générales,SIPA Ouest-France
439,La Vienne Rurale,46.563204,0.422247,Mignaloux-Beauvoir,https://www.vienne-rurale.fr,Presse,,,,,Agriculture,Groupe Réussir
440,La Voix de l'Ain,46.2042,5.223281,Bourg-en-Bresse,https://www.lavoixdelain.fr,Presse,,,,,Informations générales,
441,La Voix de la Haute Marne,48.102041,5.133843,Chaumont,https://www.voixdelahautemarne.fr,Presse,,,,,Informations générales,Sogemedia / La Manche Libre
442,La Voix du Cantal,44.927434,2.441303,Aurillac,https://actu.fr/cantal/,Presse,,,,,Informations générales,SIPA Ouest-France
443,La Voix du Nord,50.681431,2.878604,Armentières,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
444,La Voix du Nord,50.724575,1.608433,Boulogne-sur-Mer,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
445,La Voix du Nord,50.421837,2.946269,Hénin-Beaumont,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
446,La Voix du Nord,50.327075,3.394817,Denain,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
447,La Voix du Nord,50.480132,2.543157,Bruay-la-Buissière,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
448,La Voix du Nord,50.174721,3.237857,Cambrai,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
449,La Voix du Nord,50.35668,3.530856,Valenciennes,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
450,La Voix du Nord,50.549941,3.030027,Seclin,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
451,La Voix du Nord,50.530363,2.637961,Béthune,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
452,La Voix du Nord,50.62038,3.145396,Villeneuve-d'Ascq,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
453,La Voix du Nord,51.034682,2.378149,Dunkerque,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
454,La Voix du Nord,50.751047,2.253853,Saint-Omer,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
455,La Voix du Nord,50.664577,3.026375,Lambersart,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
456,La Voix du Nord,50.723786,1.603927,Boulogne-sur-Mer,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
457,La Voix du Nord,50.279073,3.9742,Maubeuge,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
458,La Voix du Nord,50.175036,3.235673,Cambrai,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
459,La Voix du Nord,50.615976,3.126029,Villeneuve-d'Ascq,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
460,La Voix du Nord,50.722186,2.535904,Hazebrouck,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
461,La Voix du Nord,50.636332,3.063665,Lille,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
462,La Voix du Nord,50.367522,3.082776,Douai,https://www.lavoixdunord.fr/,Presse,https://lvdneng.rosselcdn.net/sites/default/files/mediastore/1554475472_logo-carre_lavoixdunord-300-300.png,1941,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
